Imine,Thiol,Product
O=C(C1=CC=CC=C1)/N=C/C2=CC=C(C(F)(F)F)C=C2,CCS,CCSC(NC(=O)C1=CC=CC=C1)C1=CC=C(C(F)(F)F)C=C1
O=C(C1=CC=CC=C1)/N=C/C2=CC=C(C(F)(F)F)C=C2,SC1=CC=C(OC)C=C1,COC1=CC=C(SC(NC(=O)C2=CC=CC=C2)C2=CC=C(C(F)(F)F)C=C2)C=C1
O=C(C1=CC=CC=C1)/N=C/C2=CC=C(C(F)(F)F)C=C2,SC1=CC=CC=C1,O=C(NC(SC1=CC=CC=C1)C1=CC=C(C(F)(F)F)C=C1)C1=CC=CC=C1
O=C(C1=CC=CC=C1)/N=C/C2=CC=C(C(F)(F)F)C=C2,SC1=CC=CC=C1C,CC1=CC=CC=C1SC(NC(=O)C1=CC=CC=C1)C1=CC=C(C(F)(F)F)C=C1
O=C(C1=CC=CC=C1)/N=C/C2=CC=C(C(F)(F)F)C=C2,SC1CCCCC1,O=C(NC(SC1CCCCC1)C1=CC=C(C(F)(F)F)C=C1)C1=CC=CC=C1
O=C(C1=CC=CC=C1)/N=C/C2=CC=C(Cl)C=C2Cl,CCS,CCSC(NC(=O)C1=CC=CC=C1)C1=CC=C(Cl)C=C1Cl
O=C(C1=CC=CC=C1)/N=C/C2=CC=C(Cl)C=C2Cl,SC1=CC=C(OC)C=C1,COC1=CC=C(SC(NC(=O)C2=CC=CC=C2)C2=CC=C(Cl)C=C2Cl)C=C1
O=C(C1=CC=CC=C1)/N=C/C2=CC=C(Cl)C=C2Cl,SC1=CC=CC=C1,O=C(NC(SC1=CC=CC=C1)C1=CC=C(Cl)C=C1Cl)C1=CC=CC=C1
O=C(C1=CC=CC=C1)/N=C/C2=CC=C(Cl)C=C2Cl,SC1=CC=CC=C1C,CC1=CC=CC=C1SC(NC(=O)C1=CC=CC=C1)C1=CC=C(Cl)C=C1Cl
O=C(C1=CC=CC=C1)/N=C/C2=CC=C(Cl)C=C2Cl,SC1CCCCC1,O=C(NC(SC1CCCCC1)C1=CC=C(Cl)C=C1Cl)C1=CC=CC=C1
O=C(C1=CC=CC=C1)/N=C/C2=CC=C(OC)C=C2,CCS,CCSC(NC(=O)C1=CC=CC=C1)C1=CC=C(OC)C=C1
O=C(C1=CC=CC=C1)/N=C/C2=CC=C(OC)C=C2,SC1=CC=C(OC)C=C1,COC1=CC=C(SC(NC(=O)C2=CC=CC=C2)C2=CC=C(OC)C=C2)C=C1
O=C(C1=CC=CC=C1)/N=C/C2=CC=C(OC)C=C2,SC1=CC=CC=C1,COC1=CC=C(C(NC(=O)C2=CC=CC=C2)SC2=CC=CC=C2)C=C1
O=C(C1=CC=CC=C1)/N=C/C2=CC=C(OC)C=C2,SC1=CC=CC=C1C,COC1=CC=C(C(NC(=O)C2=CC=CC=C2)SC2=CC=CC=C2C)C=C1
O=C(C1=CC=CC=C1)/N=C/C2=CC=C(OC)C=C2,SC1CCCCC1,COC1=CC=C(C(NC(=O)C2=CC=CC=C2)SC2CCCCC2)C=C1
O=C(C1=CC=CC=C1)/N=C/C2=CC=CC=C2,CCS,CCSC(NC(=O)C1=CC=CC=C1)C1=CC=CC=C1
O=C(C1=CC=CC=C1)/N=C/C2=CC=CC=C2,SC1=CC=C(OC)C=C1,COC1=CC=C(SC(NC(=O)C2=CC=CC=C2)C2=CC=CC=C2)C=C1
O=C(C1=CC=CC=C1)/N=C/C2=CC=CC=C2,SC1=CC=CC=C1,O=C(NC(SC1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1
O=C(C1=CC=CC=C1)/N=C/C2=CC=CC=C2,SC1=CC=CC=C1C,CC1=CC=CC=C1SC(NC(=O)C1=CC=CC=C1)C1=CC=CC=C1
O=C(C1=CC=CC=C1)/N=C/C2=CC=CC=C2,SC1CCCCC1,O=C(NC(SC1CCCCC1)C1=CC=CC=C1)C1=CC=CC=C1
O=C(C1=CC=CC=C1)/N=C/C2=CC=CC3=C2C=CC=C3,CCS,CCSC(NC(=O)C1=CC=CC=C1)C1=CC=CC2=CC=CC=C12
O=C(C1=CC=CC=C1)/N=C/C2=CC=CC3=C2C=CC=C3,SC1=CC=C(OC)C=C1,COC1=CC=C(SC(NC(=O)C2=CC=CC=C2)C2=CC=CC3=CC=CC=C23)C=C1
O=C(C1=CC=CC=C1)/N=C/C2=CC=CC3=C2C=CC=C3,SC1=CC=CC=C1,O=C(NC(SC1=CC=CC=C1)C1=CC=CC2=CC=CC=C12)C1=CC=CC=C1
O=C(C1=CC=CC=C1)/N=C/C2=CC=CC3=C2C=CC=C3,SC1=CC=CC=C1C,CC1=CC=CC=C1SC(NC(=O)C1=CC=CC=C1)C1=CC=CC2=CC=CC=C12
O=C(C1=CC=CC=C1)/N=C/C2=CC=CC3=C2C=CC=C3,SC1CCCCC1,O=C(NC(SC1CCCCC1)C1=CC=CC2=CC=CC=C12)C1=CC=CC=C1
